decision_date,positions,turnover,n_pos,ret_excess,ret_excess_net
2023-10-20,8,0.25,8,-0.004082600223334204,-0.0045826002233342045
2023-10-27,8,0.5,8,0.003184908077789511,0.0026849080777895107
2023-11-03,8,0.5,8,0.004188312993236271,0.00368831299323627
2023-11-10,8,0.25,8,0.004753340223981717,0.004253340223981716
2023-11-17,8,0.0,8,0.0038599633963571633,0.003359963396357163
2023-11-24,8,0.0,8,0.006082991443600999,0.005582991443600999
2023-12-01,8,0.0,8,0.007322935099851324,0.006822935099851324
2023-12-08,8,0.25,8,0.0036915258190956257,0.0031915258190956253
2023-12-15,8,0.25,8,0.0011109981550262715,0.0006109981550262711
2023-12-22,8,0.5,8,0.009874861977588106,0.009374861977588106
