decision_date,n_pos,ret_excess,ret_excess_net,turnover,hits,equity
2020-09-04,8,-0.012821496102674801,-0.013321496102674801,0.25,1,1.5141818461120924
2020-09-11,8,-0.0005280564844621916,-0.001028056484462192,0.25,5,1.512625181646542
2020-09-18,8,-0.0025479433990850953,-0.0030479433990850957,0.25,3,1.5080147857088524
2020-09-25,8,0.007033845537146616,0.006533845537146615,0.25,4,1.5178679213864072
2020-10-09,8,0.007268272247783175,0.006768272247783175,0.5,5,1.5281412647145272
2020-10-16,8,0.016546746357377407,0.016046746357377406,0.25,5,1.5526629599876431
2020-10-23,8,-0.000904885847484993,-0.0014048858474849935,0.5,5,1.5504816457692423
2020-10-30,8,0.03535173925255111,0.03485173925255111,0.75,6,1.6045186278034582
2020-11-06,8,-0.002188235695569335,-0.0026882356955693354,0.75,3,1.6002053035539912
2020-11-13,8,0.005062919219219197,0.004562919219219197,0.25,4,1.607506911088274
2020-11-20,8,0.008102130643191152,0.007602130643191152,0.5,4,1.6197273886362
2020-11-27,8,0.02792523982179093,0.02742523982179093,0.75,6,1.664148800715471
2020-12-04,8,0.012708195642435832,0.012208195642435832,0.25,5,1.6844650548527305
2020-12-11,8,0.014937039230352944,0.014437039230352944,0.0,7,1.708783742931798
2020-12-18,8,0.02123331324171837,0.02073331324171837,0.25,6,1.744212491536359
2021-01-01,8,0.008856654314779916,0.008356654314779915,0.5,6,1.7587882723796495
2021-01-08,8,0.003985393078079186,0.0034853930780791853,0.25,4,1.7649183408500084
2021-01-15,8,0.0025866722227531336,0.002086672222753133,0.0,4,1.7686011469272875
2021-01-22,8,0.008035217733529304,0.007535217733529304,0.25,5,1.7819279416531542
2021-01-29,8,0.00035465584209359857,-0.00014534415790640187,0.0,4,1.7816689488370245
2021-02-05,8,-0.0001436031415150696,-0.00064360314151507,0.25,4,1.7805222611044131
2021-02-12,8,-0.0013560476334417843,-0.0018560476334417847,0.0,4,1.7772175269753998
2021-02-19,8,-0.006441516903608752,-0.006941516903608752,0.25,1,1.7648809414705102
2021-02-26,8,-0.0158400279097628,-0.0163400279097628,0.25,1,1.7360427376294738
2021-03-05,8,-0.003048086184759713,-0.0035480861847597134,0.5,4,1.7298831083759383
2021-03-12,8,-0.004320860851511982,-0.004820860851511982,0.75,4,1.7215435826210768
2021-03-19,8,-0.0011683040153672442,-0.0016683040153672446,0.75,3,1.7186715245495603
2021-03-26,8,0.0009019807769712895,0.0004019807769712891,0.5,4,1.7193623974643573
2021-04-09,8,0.010373276598776293,0.009873276598776293,1.0,6,1.736338137988058
2021-04-16,8,0.015396277252937546,0.014896277252937545,0.25,7,1.7622031122963775
2021-04-23,8,0.013568455719812467,0.013068455719812466,0.25,7,1.7852323856387384
2021-04-30,8,0.015608403856291003,0.015108403856291003,0.5,7,1.8122043974982982
2021-05-07,8,0.015517820447621178,0.015017820447621177,0.25,7,1.8394197577543172
2021-05-14,8,0.013956382750084262,0.013456382750084261,0.5,7,1.8641716940527264
2021-05-21,8,0.01187136311581749,0.01137136311581749,0.5,7,1.8853698672960284
2021-05-28,8,0.010477190131685021,0.009977190131685021,0.25,7,1.9041805609305906
2021-06-04,8,0.006775238603240946,0.006275238603240946,0.25,6,1.9161297482940833
2021-06-11,8,0.0021234969731784015,0.001623496973178401,0.25,5,1.9192405791406557
2021-06-18,8,-0.004915964489460384,-0.005415964489460384,0.25,3,1.9088460403172987
2021-06-25,8,-0.00824152620494703,-0.008741526204947031,0.25,3,1.8921598126346555
2021-07-02,8,-0.01672049902319986,-0.01722049902319986,0.5,1,1.8595758764294423
2021-07-09,8,-0.010101517324068526,-0.010601517324068527,0.5,2,1.8398615505600557
2021-07-16,8,-0.02149276082547405,-0.02199276082547405,0.5,2,1.7993979155266024
2021-07-23,8,-0.021272191336214608,-0.021772191336214608,0.25,2,1.7602210798197717
2021-07-30,8,-0.005612723148192389,-0.006112723148192389,1.0,3,1.7494613356792212
2021-08-06,8,-0.010463540244589481,-0.010963540244589481,0.75,4,1.7302810459191489
2021-08-13,8,-0.010894882167216735,-0.011394882167216736,0.5,1,1.7105646972847317
2021-08-20,8,0.0006317241442362342,0.0001317241442362338,0.25,5,1.7107900199556423
2021-08-27,8,0.005039236157209859,0.004539236157209858,0.25,5,1.7185556998716187
2021-09-03,8,0.01059627442076487,0.01009627442076487,0.25,6,1.7359067098248921
