date,usd_inr
2018-05-25,68.26010132
2018-05-28,67.72170258
2018-05-29,67.40280151
2018-05-30,68.12999725
2018-05-31,67.43000031
2018-06-01,67.43499756
2018-06-04,66.92500305
2018-06-05,67.05999756
2018-06-06,67.08999634
2018-06-07,66.83010101
2018-06-08,67.41000366
2018-06-11,67.51000214
2018-06-12,67.48999786
2018-06-13,67.91000366
2018-06-14,67.77999878
2018-06-15,68.12999725
2018-06-18,68.05000305
2018-06-19,68.01000214
2018-06-20,68.05000305
2018-06-21,68.34999847
2018-06-22,67.83000183
2018-06-25,67.85489655
2018-06-26,68.33999634
2018-06-27,68.36499786
2018-06-28,69.23999786
2018-06-29,68.79669952
2018-07-02,68.43499756
2018-07-03,68.69480133
2018-07-04,68.83000183
2018-07-05,68.98000336
2018-07-06,69.06999969
2018-07-09,68.75499725
2018-07-10,68.65979767
2018-07-11,68.90000153
2018-07-12,68.72000122
2018-07-13,68.54000092
2018-07-16,68.48670197
2018-07-17,68.72000122
2018-07-18,68.35600281
2018-07-19,68.6155014
2018-07-20,68.93509674
2018-07-23,68.73329926
2018-07-24,69.19999695
2018-07-25,68.80999756
2018-07-26,68.83999634
2018-07-27,68.73999786
2018-07-30,68.61499786
2018-07-31,68.68499756
2018-08-01,68.49680328
2018-08-02,68.30709839
2018-08-03,68.6155014
2018-08-06,68.50499725
2018-08-07,68.80999756
2018-08-08,68.59600067
2018-08-09,68.45500183
2018-08-10,69.09999847
2018-08-13,69.08499908
2018-08-14,69.94909668
2018-08-15,69.94999695
2018-08-16,70.66000366
2018-08-17,70.00499725
2018-08-20,69.78500366
2018-08-21,69.73999786
2018-08-22,69.80999756
2018-08-23,69.79000092
2018-08-24,70.27500153
2018-08-27,69.76499939
2018-08-28,69.94499969
2018-08-29,70.54000092
2018-08-30,70.91000366
2018-08-31,71.40499878
2018-09-03,70.99500275
2018-09-04,71.06999969
2018-09-05,71.75
2018-09-06,71.88999939
2018-09-07,71.93890381
2018-09-10,72.09500122
2018-09-11,72.44499969
2018-09-12,72.98999786
2018-09-13,71.92520142
2018-09-14,72.02749634
2018-09-17,72.09500122
2018-09-18,72.53479767
2018-09-19,73.12000275
2018-09-20,72.34500122
2018-09-21,71.72000122
2018-09-24,72.23000336
2018-09-25,73.30000305
2018-09-26,73.08999634
2018-09-27,72.76999664
2018-09-28,72.94999695
2018-10-01,72.50499725
2018-10-02,73.75499725
2018-10-03,73.27999878
2018-10-04,73.84999847
2018-10-05,74.22000122
2018-10-08,73.76300049
2018-10-09,73.88999939
2018-10-10,74.55000305
2018-10-11,74.59999847
2018-10-12,74.16000366
2018-10-15,73.6760025
2018-10-16,74.08000183
2018-10-17,73.45549774
2018-10-18,73.91999817
2018-10-19,74.16000366
2018-10-22,73.46499634
2018-10-23,73.85949707
2018-10-24,73.22129822
2018-10-25,73.22049713
2018-10-26,73.22019958
2018-10-29,73.125
2018-10-30,73.59059906
2018-10-31,73.65000153
2018-11-01,74.06999969
2018-11-02,73.30999756
2018-11-05,72.90499878
2018-11-06,72.86000061
2018-11-07,73.23000336
2018-11-08,72.37999725
2018-11-09,72.90000153
2018-11-12,72.47000122
2018-11-13,73.18000031
2018-11-14,72.55000305
2018-11-15,72.40000153
2018-11-16,71.89170074
2018-11-19,71.77500153
2018-11-20,71.69000244
2018-11-21,71.41500092
2018-11-22,71.29499817
2018-11-23,70.83499908
2018-11-26,70.66999817
2018-11-27,70.80999756
2018-11-28,70.87999725
2018-11-29,70.59999847
2018-11-30,69.91999817
2018-12-03,69.76000214
2018-12-04,70.48500061
2018-12-05,70.62999725
2018-12-06,70.87000275
2018-12-07,70.75
2018-12-10,71.36499786
2018-12-11,72.73000336
2018-12-12,72.62000275
2018-12-13,72.15000153
2018-12-14,71.54699707
2018-12-17,71.91000366
2018-12-18,71.58999634
2018-12-19,70.56999969
2018-12-20,70.6855011
2018-12-21,70.30000305
2018-12-24,70.13999939
2018-12-25,70.23999786
2018-12-27,70.15000153
2018-12-28,69.98999786
2018-12-31,69.92250061
2019-01-01,69.70999908
2019-01-03,69.95999908
2019-01-04,70.30000305
2019-01-07,69.52500153
2019-01-08,69.80999756
2019-01-09,70.33000183
2019-01-10,70.55049896
2019-01-11,70.72000122
2019-01-14,70.37000275
2019-01-15,71.08499908
2019-01-16,71.09249878
2019-01-17,71.36499786
2019-01-18,71.03019714
2019-01-21,71.23000336
2019-01-22,71.5
2019-01-23,71.23020172
2019-01-24,71.15730286
2019-01-25,70.98999786
2019-01-28,70.97499847
2019-01-29,71.09010315
2019-01-30,71.62000275
2019-01-31,71.12000275
2019-02-01,71.19999695
2019-02-04,71.4516983
2019-02-05,71.68499756
2019-02-06,71.76999664
2019-02-07,71.54049683
2019-02-08,71.58000183
2019-02-11,71.15000153
2019-02-12,71.23000336
2019-02-13,70.80999756
2019-02-14,70.86509705
2019-02-15,71.01000214
2019-02-18,71.31999969
2019-02-19,71.69999695
2019-02-20,71.59999847
2019-02-21,71.30000305
2019-02-22,71.18499756
2019-02-25,71.03099823
2019-02-26,71.08999634
2019-02-27,70.94000244
2019-02-28,71.19000244
2019-03-01,70.81600189
2019-03-04,70.98999786
2019-03-05,70.90000153
2019-03-06,70.74250031
2019-03-07,70.36499786
2019-03-08,70.48750305
2019-03-11,69.98690033
2019-03-12,69.7901001
2019-03-13,69.84500122
2019-03-14,69.7263031
2019-03-15,69.33730316
2019-03-18,68.95300293
2019-03-19,68.61799622
2019-03-20,69.31749725
2019-03-21,68.82499695
2019-03-22,68.93000031
2019-03-25,69.16049957
2019-03-26,68.92340088
2019-03-27,69.42749786
2019-03-28,69.37000275
2019-03-29,69.5
2019-04-01,69.43000031
2019-04-02,69.19529724
